               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
173,0.025535,0.027568,0.0081938,0.93635,0.95431,0.97921,0.78539,0.018048,0.013983,0.0063299,0.0093589,0.0093589,0.0093589
174,0.02538,0.026124,0.0076308,0.955,0.95264,0.98688,0.81972,0.01869,0.013657,0.0077837,0.0093516,0.0093516,0.0093516
175,0.023939,0.026013,0.0083055,0.97114,0.97,0.98963,0.80154,0.016967,0.013674,0.0036559,0.0093442,0.0093442,0.0093442
176,0.026523,0.026979,0.0088773,0.9089,0.94038,0.97781,0.76555,0.018088,0.014107,0.010759,0.0093369,0.0093369,0.0093369
177,0.023176,0.028159,0.0082808,0.89685,0.89681,0.96392,0.78517,0.016119,0.012953,0.01235,0.0093295,0.0093295,0.0093295
178,0.027265,0.027766,0.0072008,0.92849,0.90397,0.9704,0.73006,0.022498,0.014525,0.0098383,0.009322,0.009322,0.009322
179,0.023586,0.028146,0.0088026,0.94446,0.92762,0.97874,0.78412,0.016729,0.013448,0.0060944,0.0093146,0.0093146,0.0093146
180,0.022512,0.026219,0.0088744,0.98736,0.96926,0.99415,0.83626,0.01673,0.013282,0.0037054,0.009307,0.009307,0.009307
181,0.023886,0.028614,0.0071888,0.98103,0.98759,0.99438,0.76827,0.018347,0.01394,0.003389,0.0092995,0.0092995,0.0092995
182,0.02425,0.029556,0.0068592,0.94455,0.9618,0.98292,0.76931,0.017731,0.013974,0.0044259,0.0092919,0.0092919,0.0092919
183,0.023611,0.029123,0.0073426,0.97759,0.9731,0.99076,0.82982,0.015629,0.013141,0.0041132,0.0092843,0.0092843,0.0092843
184,0.022415,0.027554,0.0082494,0.9258,0.9546,0.98184,0.72954,0.019996,0.013999,0.0061812,0.0092766,0.0092766,0.0092766
185,0.024375,0.029541,0.0076314,0.90229,0.8515,0.94458,0.752,0.019506,0.013882,0.014744,0.0092689,0.0092689,0.0092689
186,0.023263,0.027688,0.0076042,0.98084,0.92909,0.97953,0.82162,0.015641,0.012953,0.0058865,0.0092611,0.0092611,0.0092611
187,0.024629,0.028025,0.0070731,0.9831,0.97944,0.9946,0.83099,0.015921,0.012439,0.0028569,0.0092534,0.0092534,0.0092534
188,0.021695,0.024842,0.0078366,0.98771,0.97414,0.99395,0.84122,0.014739,0.0122,0.0029721,0.0092455,0.0092455,0.0092455
189,0.023399,0.026764,0.0076412,0.98901,0.96925,0.9937,0.83353,0.015567,0.012711,0.0029687,0.0092377,0.0092377,0.0092377
190,0.022111,0.030678,0.0062029,0.98226,0.96843,0.99176,0.82732,0.014916,0.012603,0.0026407,0.0092298,0.0092298,0.0092298
191,0.021072,0.025824,0.0080963,0.96865,0.92747,0.9856,0.83386,0.014409,0.012573,0.0041678,0.0092219,0.0092219,0.0092219
192,0.022665,0.02822,0.0071018,0.98754,0.97592,0.99413,0.82956,0.015344,0.012295,0.0027465,0.0092139,0.0092139,0.0092139
193,0.021161,0.025725,0.0067796,0.97074,0.9857,0.99377,0.84313,0.0151,0.01221,0.0033965,0.0092059,0.0092059,0.0092059
194,0.025724,0.027547,0.0063417,0.98436,0.9773,0.99189,0.82732,0.017883,0.012869,0.0024183,0.0091979,0.0091979,0.0091979
195,0.022207,0.026608,0.007513,0.97848,0.98803,0.99094,0.8464,0.014892,0.012185,0.0023345,0.0091898,0.0091898,0.0091898
